Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA20,MA50,MA200,RSI,MACD,Signal,Histogram,Returns,Volatility,Position,Strategy_Returns,Cumulative_Market,Cumulative_Strategy
2025-06-05 00:00:00-04:00,69.0,103.75,64.0,83.2300033569336,47192000,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,
2025-06-06 00:00:00-04:00,96.38999938964844,123.51499938964844,92.94999694824219,107.69999694824219,60706300,0.0,0.0,,,,,1.9520222807881424,0.39040445615762853,1.561617824630514,0.2940044768034975,,0.0,0.0,1.2940044768034975,1.0
2025-06-09 00:00:00-04:00,132.72000122070312,138.57000732421875,108.4000015258789,115.25,45521100,0.0,0.0,,,,,4.061418644157968,1.1246072937576965,2.936811350400271,0.07010216588386853,,0.0,0.0,1.3847169932908447,1.0
2025-06-10 00:00:00-04:00,115.0,115.0,101.51000213623047,105.91000366210938,25517800,0.0,0.0,,,,,4.922724706520171,1.8842307763101915,3.038493930209979,-0.08104118297518981,,0.0,-0.0,1.2724978900687067,1.0
2025-06-11 00:00:00-04:00,107.0,120.48999786376953,106.5,117.19999694824219,26481400,0.0,0.0,,,,,6.442063966734537,2.795797414395061,3.646266552339476,0.10659987626996892,,0.0,0.0,1.4081460077038275,1.0
2025-06-12 00:00:00-04:00,116.79000091552734,117.93099975585938,104.26000213623047,106.54000091552734,13416500,0.0,0.0,,,,,6.7086455957259545,3.5783670506612397,3.130278545064715,-0.0909555999171443,,0.0,-0.0,1.2800672428021942,1.0
2025-06-13 00:00:00-04:00,108.80999755859375,134.72000122070312,108.80000305175781,133.55999755859375,34013600,0.0,0.0,,,,,8.996495372351603,4.661992714999313,4.3345026573522905,0.2536136325406062,,0.0,0.0,1.6047097461454969,1.0
2025-06-16 00:00:00-04:00,147.5399932861328,165.60000610351562,145.8800048828125,151.05999755859375,43781500,0.0,0.0,,,,,12.082457500792174,6.146085672157885,5.936371828634289,0.1310272560638721,,0.0,0.0,1.8149704609618942,1.0
2025-06-17 00:00:00-04:00,156.36000061035156,164.4199981689453,143.52999877929688,149.14999389648438,31234200,0.0,0.0,,,,,14.210177309279146,7.758903999582138,6.451273309697008,-0.012644006970597976,,0.0,-0.0,1.7920219618020625,1.0
2025-06-18 00:00:00-04:00,153.22000122070312,200.89999389648438,148.0,199.58999633789062,63566800,0.0,0.0,,,,,19.738958809154298,10.154914961496571,9.584043847657727,0.3381830674187858,,0.0,0.0,2.3980534457261142,1.0
2025-06-20 00:00:00-04:00,231.5,248.8800048828125,206.1699981689453,240.27999877929688,92427200,0.0,0.0,,,,,27.091605947582863,13.54225315871383,13.549352788869033,0.20386794522768148,,0.0,0.0,2.8869396742524587,1.0
2025-06-23 00:00:00-04:00,238.4600067138672,298.989990234375,232.47999572753906,263.45001220703125,99128700,0.0,0.0,,,,,34.39181083434664,17.712164693840393,16.67964614050625,0.09642922234661988,,0.0,0.0,3.1653250220022273,1.0
2025-06-24 00:00:00-04:00,250.4199981689453,265.0,217.57899475097656,222.64999389648438,68222600,0.0,0.0,,,,,36.464712793968715,21.46267431386606,15.002038480102655,-0.154868158740051,,0.0,-0.0,2.675116964030931,1.0
2025-06-25 00:00:00-04:00,218.5449981689453,227.5399932861328,198.0,198.6199951171875,49283200,0.0,0.0,,,,69.9726493869136,35.756306018754685,24.321400654843785,11.4349053639109,-0.10792723753888367,,0.0,-0.0,2.3863989800096674,1.0
2025-06-26 00:00:00-04:00,209.0399932861328,226.9499969482422,205.67999267578125,213.6300048828125,45550300,0.0,0.0,,,,71.45583612098199,35.99118689105845,26.65535790208672,9.335828988971727,0.07557149398160523,,0.0,0.0,2.566742716165177,1.0
2025-06-27 00:00:00-04:00,223.64700317382812,223.64700317382812,175.60000610351562,180.42999267578125,48112100,0.0,0.0,,,,61.632702878263764,33.1166203683303,27.94761039533544,5.169009972994864,-0.15540893810887302,,0.0,-0.0,2.1678479562472623,1.0
2025-06-30 00:00:00-04:00,181.77000427246094,192.5,178.0,181.2899932861328,34461500,0.0,0.0,,,,60.79366890028598,30.555673763960755,28.4692230690605,2.086450694900254,0.004766394974569987,,0.0,0.0,2.1781807758515512,1.0
2025-07-01 00:00:00-04:00,184.6699981689453,194.0,171.5,192.52999877929688,31252100,0.0,0.0,,,,64.06990776667868,29.097659925075078,28.594910440263416,0.5027494848116625,0.06200014291701028,,0.0,0.0,2.3132282952534315,1.0
2025-07-02 00:00:00-04:00,187.2100067138672,189.0,176.0,177.97000122070312,18546000,0.0,0.0,,,,59.767268807242516,26.462262839506735,28.16838092011208,-1.7061180806053464,-0.07562456578667687,,0.0,-0.0,2.138291409859436,1.0
2025-07-03 00:00:00-04:00,182.1699981689453,192.5,181.38999938964844,188.77000427246094,17192000,0.0,0.0,166.44049911499025,,,63.210485226989455,24.957467499221536,27.526198235933972,-2.5687307367124355,0.060684401740069616,,0.0,0.0,2.268052344812686,1.0
2025-07-07 00:00:00-04:00,193.75,208.60000610351562,186.60000610351562,207.4600067138672,31640800,0.0,0.0,172.65199928283693,,,62.19874414502667,24.98502157268041,27.01796290328326,-2.032941330602849,0.09900938718224572,2.276009767983058,1.0,0.09900938718224572,2.4926108175698456,1.0990093871822457
2025-07-08 00:00:00-04:00,199.5,209.5,196.0,204.80999755859375,22225500,0.0,0.0,177.5074993133545,,,59.32997486445612,24.51048318966849,26.516466960560308,-2.0059837708918167,-0.012773590424724035,2.1043223048061237,1.0,-0.012773590424724035,2.460771227897972,1.0849710913974528
2025-07-09 00:00:00-04:00,209.36000061035156,215.60000610351562,197.25,200.67999267578125,17934400,0.0,0.0,181.77899894714355,,,58.87621601901684,23.529913033526896,25.919156175153628,-2.389243141626732,-0.020165055085413774,2.111878653456147,1.0,-0.020165055085413774,2.411149640534808,1.0630925895733416
2025-07-10 00:00:00-04:00,208.83999633789062,209.57000732421875,199.0,202.89999389648438,12340100,0.0,0.0,186.6284984588623,,,50.68374229984579,22.670607019585674,25.26944634404004,-2.5988393244543673,0.011062394367782113,2.069039558220544,1.0,0.011062394367782113,2.4378227287381398,1.0748529390486687
2025-07-11 00:00:00-04:00,204.17999267578125,206.8000030517578,182.5,187.3300018310547,18227400,0.0,0.0,190.13499870300294,,,37.79560685161825,20.49695642202383,24.3149483596368,-3.817991937612973,-0.07673727222176852,2.0936993034407374,1.0,-0.07673727222176852,2.2507508623745465,0.992371656466523
2025-07-14 00:00:00-04:00,189.27000427246094,204.91000366210938,185.5399932861328,204.6999969482422,15445200,0.0,0.0,195.04299850463866,,,36.08677090841339,19.94601090425644,23.44116086856073,-3.4951499643042894,0.09272404285167735,2.0523764268730855,0.0,0.0,2.4594495817858135,0.992371656466523
2025-07-15 00:00:00-04:00,198.0,203.4600067138672,188.10000610351562,195.3300018310547,14758500,0.0,0.0,198.13149871826172,,,42.39844521709212,18.53958946754898,22.46084658835838,-3.9212571208094005,-0.04577428068822431,1.9105650393329903,1.0,-0.04577428068822431,2.3468700462906136,0.9469465577163863
2025-07-16 00:00:00-04:00,203.0500030517578,239.697998046875,201.32000732421875,233.1999969482422,43669500,0.0,0.0,202.23849868774414,,,58.93355316162559,20.2473832291345,22.018153916513604,-1.7707706873791054,0.19387700180304157,1.9686742693064205,0.0,0.0,2.801874174486803,0.9469465577163863
2025-07-17 00:00:00-04:00,225.5850067138672,244.36000061035156,220.00999450683594,235.0800018310547,29222500,0.0,0.0,206.53499908447264,,,55.944790948014656,21.504630773972735,21.915449288005433,-0.4108185140326981,0.008061770614987473,1.964258230968079,1.0,0.008061770614987473,2.824462241373573,0.9545806236493477
2025-07-18 00:00:00-04:00,244.89999389648438,262.9700012207031,222.49000549316406,223.77999877929688,42877400,0.0,0.0,207.74449920654297,,,63.67421722060756,21.34316201695114,21.800991833794576,-0.4578298168434358,-0.04806875516309894,1.605913537971097,1.0,-0.04806875516309894,2.688693857425569,0.9086951213677089
2025-07-21 00:00:00-04:00,226.39999389648438,231.8800048828125,213.3300018310547,216.10000610351562,19033100,0.0,0.0,206.5354995727539,,,60.52743374821771,20.360779250083255,21.51294931705231,-1.152170066969056,-0.03431938831743242,1.4395402758632923,1.0,-0.03431938831743242,2.596419528865886,0.8775092606353341
2025-07-22 00:00:00-04:00,207.5500030517578,211.99000549316406,192.89999389648438,198.30999755859375,18485900,0.0,0.0,203.27849884033202,,,51.68140522896706,17.939928488981224,20.798345151438095,-2.8584166624568716,-0.08232303582814415,1.4181425429839625,1.0,-0.08232303582814415,2.3826743909661663,0.8052700343325232
2025-07-23 00:00:00-04:00,198.3800048828125,202.5,195.0800018310547,202.41000366210938,10319800,0.0,0.0,202.2664993286133,,,57.5703135944626,16.1658729267005,19.87185070649058,-3.7059777797900786,0.02067473225753136,1.313877056331468,0.0,0.0,2.4319355460562684,0.8052700343325232
2025-07-24 00:00:00-04:00,199.75,201.25,189.22999572753906,193.0800018310547,9085900,0.0,0.0,201.98949966430663,,,51.34729516400884,13.847443232673328,18.66696921172713,-4.819525979053804,-0.046094568757726107,1.2648879991358983,1.0,-0.046094568757726107,2.3198365258142197,0.7681514593664462
2025-07-25 00:00:00-04:00,192.5399932861328,195.6999969482422,187.5,192.86000061035156,6988500,0.0,0.0,200.95099945068358,,,44.840258351080244,11.855654135898789,17.304706196561465,-5.449052060662677,-0.0011394303843834663,1.2342926783642219,0.0,-0.0,2.3171932335899044,0.7681514593664462
2025-07-28 00:00:00-04:00,196.97500610351562,197.89999389648438,183.91000366210938,185.36000061035156,9524200,0.0,0.0,201.1974998474121,,,43.354063860841684,9.561737844854406,15.756112526220054,-6.194374681365648,-0.03888831264266546,1.105099053420619,0.0,-0.0,2.2270814986685914,0.7681514593664462
2025-07-29 00:00:00-04:00,187.875,190.75,180.6820068359375,181.63999938964844,9534800,0.0,0.0,201.2150001525879,,,43.47587941164568,7.358792073924718,14.076648435760987,-6.717856361836269,-0.020069061331754123,1.1082475640114775,0.0,-0.0,2.1823860634809966,0.7681514593664462
2025-07-30 00:00:00-04:00,182.6199951171875,193.33399963378906,182.10000610351562,190.5,9317700,0.0,0.0,201.11350021362304,,,45.93602710575493,6.25575720722523,12.512470190053836,-6.256712982828606,0.048777805770332305,1.0997628590367512,0.0,0.0,2.2888380670013526,0.7681514593664462
2025-07-31 00:00:00-04:00,188.7550048828125,189.8699951171875,183.0,183.52000427246094,5770600,0.0,0.0,201.39100036621093,,,48.67680852737054,4.763456644426498,10.962667480928369,-6.199210836501871,-0.03664039751989012,1.0717848382153887,0.0,-0.0,2.2049741303677663,0.7681514593664462
2025-08-01 00:00:00-04:00,176.92999267578125,181.5500030517578,167.3000030517578,168.10000610351562,12924900,0.0,0.0,200.35750045776368,,,37.11449452764745,2.3099055615836903,9.232115097059435,-6.922209535475744,-0.08402352773516819,1.0924403309179302,0.0,-0.0,2.019704425369482,0.7681514593664462
2025-08-04 00:00:00-04:00,172.10000610351562,172.10000610351562,154.5,164.82000732421875,11701300,0.0,0.0,198.22550048828126,,,38.7773145273699,0.09963167027765962,7.405618411703079,-7.30598674142542,-0.019512187151718874,1.0235694538620363,0.0,-0.0,1.9802955746305178,0.7681514593664462
2025-08-05 00:00:00-04:00,160.0,164.32000732421875,153.91000366210938,153.92999267578125,7802400,0.0,0.0,195.68150024414064,,,13.620934241008143,-2.501918919313596,5.424110945499745,-7.926029864813341,-0.06607216457050424,1.043082194754683,0.0,-0.0,1.849453159525289,0.7681514593664462
2025-08-06 00:00:00-04:00,150.08999633789062,162.44000244140625,149.0,161.7100067138672,8357900,0.0,0.0,193.7330009460449,,,18.058349271909535,-3.8910310087549647,3.561082554648803,-7.452113563403768,0.050542547965118034,1.0658970679159019,0.0,0.0,1.942929234549835,0.7681514593664462
2025-08-07 00:00:00-04:00,167.67999267578125,169.9199981689453,151.10000610351562,152.92999267578125,10166300,0.0,0.0,191.23450088500977,,,18.46346653785517,-5.635424437893903,1.721781156140262,-7.3572055940341645,-0.05429480968126765,1.0750355828235578,0.0,-0.0,1.8374382615357807,0.7681514593664462
2025-08-08 00:00:00-04:00,155.01499938964844,163.22000122070312,154.11700439453125,159.02999877929688,8921000,0.0,0.0,189.8195007324219,,,24.234773872448443,-6.451282911863132,0.08716834253958328,-6.538451254402715,0.03988757206343374,1.0614599284110589,0.0,0.0,1.9107292126048996,0.7681514593664462
2025-08-11 00:00:00-04:00,161.0050048828125,169.8000030517578,155.52699279785156,161.1699981689453,11888900,0.0,0.0,187.64300079345702,,,30.473197093226332,-6.846257173355809,-1.2995167606394953,-5.546740412716314,0.013456576784725671,0.9990002582883908,0.0,0.0,1.9364410869691357,0.7681514593664462
2025-08-12 00:00:00-04:00,186.3000030517578,189.9199981689453,161.50999450683594,163.2100067138672,33232700,0.0,0.0,186.03700103759766,,,28.933805856950897,-6.914954193182723,-2.422604247148141,-4.492349946034582,0.012657495613938252,0.992835552816004,0.0,0.0,1.9609515815340974,0.7681514593664462
2025-08-13 00:00:00-04:00,156.63999938964844,164.63999938964844,152.14999389648438,153.16000366210938,17877900,0.0,0.0,182.035001373291,,,28.711617682934076,-7.6916833929801385,-3.4764200763145405,-4.215263316665598,-0.061577125411048206,0.6675139074123069,0.0,-0.0,1.840201820072979,0.7681514593664462
2025-08-14 00:00:00-04:00,152.0,156.8000030517578,136.39999389648438,139.22999572753906,17905900,0.0,0.0,177.24250106811525,,,25.048863024228623,-9.323803103921279,-4.645896681835889,-4.67790642208539,-0.09095068948484553,0.7039403954065224,0.0,-0.0,1.672834195746074,0.7681514593664462
2025-08-15 00:00:00-04:00,141.15499877929688,151.47000122070312,139.25,149.25999450683594,23286200,0.0,0.0,173.5165008544922,177.8881997680664,,33.59091542141145,-9.69616134401474,-5.655949614271659,-4.040211729743081,0.07203906548215877,0.7768387850292666,0.0,0.0,1.7933436079142198,0.7681514593664462
2025-08-18 00:00:00-04:00,148.69500732421875,149.4499969482422,141.35000610351562,141.5800018310547,8683100,0.0,0.0,169.79050064086914,179.05519973754883,,32.423666590524505,-10.490046431113086,-6.622768977639945,-3.8672774534731413,-0.051453791762196,0.783702105049413,0.0,-0.0,1.7010692793545363,0.7681514593664462
2025-08-19 00:00:00-04:00,143.97999572753906,144.64999389648438,133.11000061035156,135.22999572753906,9688100,0.0,0.0,166.6365005493164,179.60579971313476,,25.204138395022667,-11.49904467648642,-7.59802411740924,-3.90102055907718,-0.04485101018075277,0.7547742752290002,0.0,-0.0,1.6247746037880402,0.7681514593664462
2025-08-20 00:00:00-04:00,136.94000244140625,139.5,129.10000610351562,137.80999755859375,9944100,0.0,0.0,163.40650024414063,180.05699966430663,,28.65017312051529,-11.952715011250461,-8.468962296177486,-3.483752715072976,0.019078620961083814,0.7537135294336162,0.0,0.0,1.6557730626009073,0.7681514593664462
2025-08-21 00:00:00-04:00,135.0,136.99000549316406,131.58999633789062,131.8000030517578,4986600,0.0,0.0,160.34250030517578,180.5747996520996,,31.411316782360316,-12.65137121696705,-9.305444080335398,-3.3459271366316514,-0.04361072936149368,0.752534301578022,0.0,-0.0,1.5835635916837676,0.7681514593664462
2025-08-22 00:00:00-04:00,132.99000549316406,144.6999969482422,131.0500030517578,135.0399932861328,13309100,0.0,0.0,157.45149993896484,180.93159957885743,,34.74385337687298,-12.796115505120014,-10.003578365292322,-2.792537139827692,0.02458262639874631,0.7655285702017334,0.0,0.0,1.6224917438367865,0.7681514593664462
