Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA10,MA20,MA50,MA200,BB_Middle,BB_Std,BB_Upper,BB_Lower,High_Low,High_Close,Low_Close,TR,ATR,RSI,MACD,Signal,Histogram,Volume_MA20
2024-03-18 00:00:00-04:00,110.69999694824219,114.77899932861328,95.20600128173828,100.06800079345703,115307000,0.0,0.0,,,,,,,,,,19.572998046875,,,19.572998046875,,,0.0,0.0,0.0,
2024-03-19 00:00:00-04:00,88.86100006103516,92.5,86.30000305175781,91.09700012207031,104844000,0.0,0.0,,,,,,,,,,6.1999969482421875,7.568000793457031,13.767997741699219,13.767997741699219,,,-0.7156353811932377,-0.14312707623864754,-0.5725083049545902,
2024-03-20 00:00:00-04:00,90.0,90.55000305175781,85.5,89.64700317382812,76457000,0.0,0.0,,,,,,,,,,5.0500030517578125,0.5469970703125,5.5970001220703125,5.5970001220703125,,,-1.3838322554215807,-0.39126811207523415,-0.9925641433463466,
2024-03-21 00:00:00-04:00,93.80000305175781,99.44400024414062,90.61599731445312,97.16100311279297,85630000,0.0,0.0,,,,,,,,,,8.8280029296875,9.7969970703125,0.968994140625,9.7969970703125,,,-1.2921707542822531,-0.571448640516638,-0.7207221137656151,
2024-03-22 00:00:00-04:00,95.4540023803711,98.5469970703125,94.72000122070312,97.27400207519531,50691000,0.0,0.0,95.04940185546874,,,,,,,,,3.826995849609375,1.3859939575195312,2.4410018920898438,3.826995849609375,,,-1.1966164329782316,-0.6964821990089567,-0.5001342339692749,
2024-03-25 00:00:00-04:00,97.2750015258789,107.27400207519531,96.69999694824219,104.27899932861328,70172000,0.0,0.0,95.8916015625,,,,,,,,,10.574005126953125,10.0,0.574005126953125,10.574005126953125,,,-0.5493120820203359,-0.6670481756112325,0.11773609359089665,
2024-03-26 00:00:00-04:00,108.69999694824219,110.61100006103516,102.21099853515625,102.50599670410156,63563000,0.0,0.0,98.17340087890625,,,,,,,,,8.400001525878906,6.332000732421875,2.0680007934570312,8.400001525878906,,,-0.17734093855830224,-0.5691067282006466,0.3917657896423443,
2024-03-27 00:00:00-04:00,104.21199798583984,104.78099822998047,98.63400268554688,102.3290023803711,52578000,0.0,0.0,100.70980072021484,,,,,,,,,6.146995544433594,2.2750015258789062,3.8719940185546875,6.146995544433594,,,0.1019912185409595,-0.4348871388523254,0.5368783573932849,
2024-03-28 00:00:00-04:00,100.86199951171875,103.30000305175781,99.7020034790039,101.00299835205078,34631000,0.0,0.0,101.4781997680664,,,,,,,,,3.5979995727539062,0.9710006713867188,2.6269989013671875,3.5979995727539062,,,0.2139008069602255,-0.3051295496898152,0.5190303566500407,
2024-04-01 00:00:00-04:00,101.0,106.9000015258789,100.5,103.71499633789062,51852000,0.0,0.0,102.76639862060547,98.90790023803712,,,,,,,,6.400001525878906,5.897003173828125,0.5029983520507812,6.400001525878906,,,0.5154833630598716,-0.14100696713987784,0.6564903301997495,
2024-04-02 00:00:00-04:00,100.0,101.26000213623047,97.50900268554688,100.99099731445312,42301000,0.0,0.0,102.10879821777344,99.00019989013671,,,,,,,,3.7509994506835938,2.4549942016601562,6.20599365234375,6.20599365234375,,,0.5285924708060463,-0.007087079550693015,0.5356795503567393,
2024-04-03 00:00:00-04:00,97.5,104.24500274658203,96.58300018310547,101.55699920654297,61824000,0.0,0.0,101.91899871826172,100.04619979858398,,,,,,,,7.6620025634765625,3.2540054321289062,4.407997131347656,7.6620025634765625,,,0.5779904415339558,0.10992842466623677,0.4680620168677191,
2024-04-04 00:00:00-04:00,103.06999969482422,105.71800231933594,95.61599731445312,95.79900360107422,58166000,0.0,0.0,100.61299896240234,100.6613998413086,,,,,,,,10.102005004882812,4.161003112792969,5.941001892089844,10.102005004882812,,,0.1507784849268603,0.11809843671836148,0.03268004820849882,
2024-04-05 00:00:00-04:00,96.80000305175781,98.1989974975586,93.2020034790039,94.802001953125,53445000,0.0,0.0,99.37279968261718,100.4254997253418,,,,,,,,4.9969940185546875,2.399993896484375,2.5970001220703125,4.9969940185546875,8.331999097551618,43.59149101160713,-0.2651829058116988,0.04144216821234944,-0.3066250740240482,
2024-04-08 00:00:00-04:00,96.25,96.4000015258789,90.19999694824219,92.8499984741211,43167000,0.0,0.0,97.19980010986328,99.98309936523438,,,,,,,,6.200004577636719,1.5979995727539062,4.6020050048828125,6.200004577636719,7.3767852783203125,41.61438349704914,-0.7437719321420957,-0.1156006518585396,-0.6281712802835561,
2024-04-09 00:00:00-04:00,92.5,93.7239990234375,88.0999984741211,90.41999816894531,40212000,0.0,0.0,95.08560028076172,98.59719924926758,,,,,,,,5.624000549316406,0.8740005493164062,4.75,5.624000549316406,6.795071193150112,49.07252368129164,-1.3041049892851504,-0.3533015193438618,-0.9508034699412886,
2024-04-10 00:00:00-04:00,87.61499786376953,92.4000015258789,87.11000061035156,90.85399627685547,41373000,0.0,0.0,92.94499969482422,97.43199920654297,,,,,,,,5.290000915527344,1.9800033569335938,3.30999755859375,5.290000915527344,6.7731426783970425,51.70090085828281,-1.6936298432330545,-0.6213671841217003,-1.0722626591113542,
2024-04-11 00:00:00-04:00,91.19999694824219,94.53600311279297,90.71900177001953,93.72799682617188,36770000,0.0,0.0,92.53079833984376,96.57189865112305,,,,,,,,3.8170013427734375,3.6820068359375,0.1349945068359375,3.8170013427734375,6.346000126429966,44.43434591062567,-1.7502475072840156,-0.8471432487541635,-0.9031042585298521,
2024-04-12 00:00:00-04:00,92.02999877929688,92.4990005493164,89.4000015258789,89.8489990234375,33322000,0.0,0.0,91.54019775390626,95.45649871826171,,,,,,,,3.0989990234375,1.2289962768554688,4.327995300292969,4.327995300292969,6.381785801478794,39.272395463147326,-2.0840959576015052,-1.0945337905236319,-0.9895621670778734,
2024-04-15 00:00:00-04:00,91.19999694824219,93.63600158691406,88.10800170898438,88.2750015258789,42011000,0.0,0.0,90.62519836425781,93.91249923706054,96.41019973754882,,,96.41019973754882,5.348438953562736,107.10707764467429,85.71332183042335,5.5279998779296875,3.7870025634765625,1.740997314453125,5.5279998779296875,6.021356855119977,22.573346903212098,-2.4474688064292565,-1.3651207937047567,-1.0823480127244998,57915800.0
2024-04-16 00:00:00-04:00,90.13200378417969,98.14600372314453,89.30000305175781,97.62999725341797,71214000,0.0,0.0,92.06719818115235,93.57639923095704,96.28829956054688,,,96.28829956054688,5.288126670151644,106.86455290085016,85.7120462202436,8.846000671386719,9.871002197265625,1.0250015258789062,9.871002197265625,6.126428331647601,43.36742879689527,-1.9580037860042552,-1.4836973921646566,-0.4743063938395986,55711150.0
2024-04-17 00:00:00-04:00,99.20099639892578,102.03299713134766,94.94100189208984,96.00800323486328,71675000,0.0,0.0,93.0979995727539,93.02149963378906,96.53384971618652,,,96.53384971618652,5.146508619818134,106.8268669558228,86.24083247655025,7.0919952392578125,4.4029998779296875,2.688995361328125,7.0919952392578125,6.193928309849331,41.72708794406294,-1.681596198422028,-1.523277153416131,-0.1583190450058971,54052700.0
2024-04-18 00:00:00-04:00,96.18800354003906,97.29900360107422,91.74600219726562,92.8479995727539,43007000,0.0,0.0,92.92200012207032,92.72639923095703,96.69389953613282,,,96.69389953613282,4.967732648052123,106.62936483223706,86.75843424002858,5.553001403808594,1.2910003662109375,4.262001037597656,5.553001403808594,6.333571297781808,39.815668799907314,-1.6979541219555188,-1.5582125471240085,-0.13974157483151028,52380200.0
