排名,入选,代码,公司,现价,PE,ROE,质量,价值,动量,综合
1,✅,MRK,Merck & Comp,$115.35,15.8,36.9%,0.70,0.93,1.00,0.860
2,✅,JNJ,Johnson & Jo,$243.15,22.0,35.0%,0.60,0.83,0.94,0.771
3,✅,KO,Coca-Cola Co,$78.15,25.7,43.3%,0.77,0.67,0.74,0.729
4,✅,PEP,"Pepsico, Inc",$159.26,26.5,42.8%,0.73,0.60,0.71,0.686
5,✅,LLY,Eli Lilly an,$984.46,42.9,101.2,0.83,0.13,0.90,0.644
6,✅,GOOGL,Alphabet Inc,$303.87,28.1,35.7%,0.65,0.43,0.84,0.642
7,✅,AAPL,Apple Inc.,$253.26,32.1,152.0,0.93,0.23,0.65,0.637
8,✅,GOOG,Alphabet Inc,$302.80,28.0,35.7%,0.65,0.47,0.77,0.632
9,✅,HD,"Home Depot, ",$342.20,24.0,145.5,0.90,0.73,0.05,0.595
10,✅,ABBV,AbbVie Inc.,$221.73,93.6,6225.,1.00,0.03,0.58,0.584
11,✅,XOM,Exxon Mobil ,$157.00,23.4,11.1%,0.13,0.77,0.97,0.574
12,✅,NVDA,NVIDIA Corpo,$183.46,37.4,101.5,0.87,0.20,0.55,0.571
13,✅,MCD,McDonald's C,$327.01,27.4,nan%,0.50,0.50,0.68,0.553
14,✅,PG,Procter & Ga,$151.30,22.4,31.6%,0.53,0.80,0.23,0.521
15,✅,MA,Mastercard I,$503.25,30.4,209.9,0.97,0.27,0.13,0.505
16,✅,V,Visa Inc.,$308.48,28.9,54.0%,0.80,0.40,0.16,0.488
17,✅,JPM,JP Morgan Ch,$285.95,14.3,16.1%,0.30,0.97,0.19,0.468
18,✅,ACN,Accenture pl,$195.78,16.2,25.0%,0.43,0.90,0.08,0.468
19,✅,MSFT,Microsoft Co,$396.26,24.8,34.4%,0.57,0.70,0.02,0.442
20,✅,WFC,Wells Fargo ,$75.16,12.0,11.7%,0.17,1.00,0.18,0.420
